Entries in the tree: 26492
------> 5 13 385 -1
------> 5 13 386 -1
------> 5 13 387 -1
------> 5 13 388 -1
------> 5 13 389 -1
------> 5 13 390 -1
------> 5 13 391 -1
------> 5 13 392 -1
------> 5 13 393 -1
------> 5 13 394 -1
------> 5 13 395 -1
------> 5 13 396 -1
------> 5 13 397 -1
------> 5 13 398 -1
------> 5 13 399 -1
------> 5 13 400 -1
------> 5 13 401 -1
------> 5 13 402 -1
------> 5 13 403 -1
------> 5 13 404 -1
------> 5 13 405 -1
------> 5 13 406 -1
------> 5 13 407 -1
------> 5 13 408 -1
------> 5 13 409 -1
------> 5 13 410 -1
------> 5 13 411 -1
------> 5 13 412 -1
------> 5 13 413 -1
------> 5 13 414 -1
------> 5 13 415 -1
------> 5 13 416 -1
------> 5 13 417 -1
------> 5 13 418 -1
------> 5 13 419 -1
------> 5 13 420 -1
------> 5 13 421 -1
------> 5 13 422 -1
------> 5 13 423 -1
------> 5 13 424 -1
------> 5 13 425 -1
------> 5 13 426 -1
------> 5 13 427 -1
------> 5 13 428 -1
------> 5 13 429 -1
------> 5 13 430 -1
------> 5 13 431 -1
------> 5 13 432 -1
------> 5 13 433 -1
------> 5 13 434 -1
------> 5 13 435 -1
------> 5 13 436 -1
------> 5 13 437 -1
------> 5 13 438 -1
------> 5 13 439 -1
------> 5 13 440 -1
------> 5 13 441 -1
------> 5 13 442 -1
------> 5 13 443 -1
------> 5 13 444 -1
------> 5 13 445 -1
------> 5 13 446 -1
------> 5 13 447 -1
------> 5 13 448 -1
------> 5 13 449 -1
------> 5 13 450 -1
------> 5 13 451 -1
------> 5 13 452 -1
------> 5 13 453 -1
------> 5 13 454 -1
------> 5 13 455 -1
------> 5 13 456 -1
------> 5 13 457 -1
------> 5 13 458 -1
------> 5 13 459 -1
------> 5 13 460 -1
------> 5 13 461 -1
------> 5 13 462 -1
------> 5 13 463 -1
------> 5 13 464 -1
------> 5 13 465 -1
------> 5 13 466 -1
------> 5 13 467 -1
------> 5 13 468 -1
------> 5 13 469 -1
------> 5 13 470 -1
------> 5 13 471 -1
------> 5 13 472 -1
------> 5 13 473 -1
------> 5 13 474 -1
------> 5 13 475 -1
------> 5 13 476 -1
------> 5 13 477 -1
------> 5 13 478 -1
